id,title,budget,revenue,runtime,release_date,release_year,release_month,release_quarter,release_weekday,popularity,vote_average,vote_count,original_language,production_company,director,cast_names,cast_size,genres,primary_genre,is_demo,status
19995,Avatar,237000000,2787965087,162.0,2009-12-10,2009.0,12.0,4,3.0,150.437577,7.2,11800,en,Ingenious Film Partners,James Cameron,"[""Sam Worthington"", ""Zoe Saldana"", ""Sigourney Weaver"", ""Stephen Lang"", ""Michelle Rodriguez"", ""Giovanni Ribisi"", ""Joel David Moore"", ""CCH Pounder"", ""Wes Studi"", ""Laz Alonso""]",10,"[""Action"", ""Adventure"", ""Fantasy"", ""Science Fiction""]",Action,0,Released
285,Pirates of the Caribbean: At World's End,300000000,961000000,169.0,2007-05-19,2007.0,5.0,2,5.0,139.082615,6.9,4500,en,Walt Disney Pictures,Gore Verbinski,"[""Johnny Depp"", ""Orlando Bloom"", ""Keira Knightley"", ""Stellan Skarsg\u00e5rd"", ""Chow Yun-fat"", ""Bill Nighy"", ""Geoffrey Rush"", ""Jack Davenport"", ""Kevin McNally"", ""Tom Hollander""]",10,"[""Adventure"", ""Fantasy"", ""Action""]",Adventure,0,Released
206647,Spectre,245000000,880674609,148.0,2015-10-26,2015.0,10.0,4,0.0,107.376788,6.3,4466,en,Columbia Pictures,Sam Mendes,"[""Daniel Craig"", ""Christoph Waltz"", ""L\u00e9a Seydoux"", ""Ralph Fiennes"", ""Monica Bellucci"", ""Ben Whishaw"", ""Naomie Harris"", ""Dave Bautista"", ""Andrew Scott"", ""Rory Kinnear""]",10,"[""Action"", ""Adventure"", ""Crime""]",Action,0,Released
49026,The Dark Knight Rises,250000000,1084939099,165.0,2012-07-16,2012.0,7.0,3,0.0,112.31295,7.6,9106,en,Legendary Pictures,Christopher Nolan,"[""Christian Bale"", ""Michael Caine"", ""Gary Oldman"", ""Anne Hathaway"", ""Tom Hardy"", ""Marion Cotillard"", ""Joseph Gordon-Levitt"", ""Morgan Freeman"", ""Cillian Murphy"", ""Juno Temple""]",10,"[""Action"", ""Crime"", ""Drama"", ""Thriller""]",Action,0,Released
49529,John Carter,260000000,284139100,132.0,2012-03-07,2012.0,3.0,1,2.0,43.926995,6.1,2124,en,Walt Disney Pictures,Andrew Stanton,"[""Taylor Kitsch"", ""Lynn Collins"", ""Samantha Morton"", ""Willem Dafoe"", ""Thomas Haden Church"", ""Mark Strong"", ""Ciar\u00e1n Hinds"", ""Dominic West"", ""James Purefoy"", ""Bryan Cranston""]",10,"[""Action"", ""Adventure"", ""Science Fiction""]",Action,0,Released
559,Spider-Man 3,258000000,890871626,139.0,2007-05-01,2007.0,5.0,2,1.0,115.699814,5.9,3576,en,Columbia Pictures,Sam Raimi,"[""Tobey Maguire"", ""Kirsten Dunst"", ""James Franco"", ""Thomas Haden Church"", ""Topher Grace"", ""Bryce Dallas Howard"", ""Rosemary Harris"", ""James Cromwell"", ""J.K. Simmons"", ""Theresa Russell""]",10,"[""Fantasy"", ""Action"", ""Adventure""]",Fantasy,0,Released
38757,Tangled,260000000,591794936,100.0,2010-11-24,2010.0,11.0,4,2.0,48.681969,7.4,3330,en,Walt Disney Pictures,Byron Howard,"[""Zachary Levi"", ""Mandy Moore"", ""Donna Murphy"", ""Ron Perlman"", ""M.C. Gainey"", ""Jeffrey Tambor"", ""Brad Garrett"", ""Paul F. Tompkins"", ""Richard Kiel"", ""Delaney Rose Stein""]",10,"[""Animation"", ""Family""]",Animation,0,Released
99861,Avengers: Age of Ultron,280000000,1405403694,141.0,2015-04-22,2015.0,4.0,2,2.0,134.279229,7.3,6767,en,Marvel Studios,Joss Whedon,"[""Robert Downey Jr."", ""Chris Hemsworth"", ""Mark Ruffalo"", ""Chris Evans"", ""Scarlett Johansson"", ""Jeremy Renner"", ""James Spader"", ""Samuel L. Jackson"", ""Don Cheadle"", ""Aaron Taylor-Johnson""]",10,"[""Action"", ""Adventure"", ""Science Fiction""]",Action,0,Released
767,Harry Potter and the Half-Blood Prince,250000000,933959197,153.0,2009-07-07,2009.0,7.0,3,1.0,98.885637,7.4,5293,en,Warner Bros.,David Yates,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Tom Felton"", ""Michael Gambon"", ""Jim Broadbent"", ""Helena Bonham Carter"", ""Robbie Coltrane"", ""Maggie Smith"", ""Alan Rickman""]",10,"[""Adventure"", ""Fantasy"", ""Family""]",Adventure,0,Released
209112,Batman v Superman: Dawn of Justice,250000000,873260194,151.0,2016-03-23,2016.0,3.0,1,2.0,155.790452,5.7,7004,en,DC Comics,Zack Snyder,"[""Ben Affleck"", ""Henry Cavill"", ""Gal Gadot"", ""Amy Adams"", ""Jesse Eisenberg"", ""Diane Lane"", ""Jeremy Irons"", ""Laurence Fishburne"", ""Holly Hunter"", ""Scoot McNairy""]",10,"[""Action"", ""Adventure"", ""Fantasy""]",Action,0,Released
