title,budget,runtime,genres,release_month,release_day,release_year,production_company,director,lead_actors,rating,vote_count,popularity,language
"Avatar 3",250000000,192,"Action|Adventure|Science Fiction",12,18,2026,"20th Century Fox","James Cameron","Sam Worthington|Zoe Saldana|Sigourney Weaver",8.2,52000,155.4,en
"Dune: Part Three",165000000,168,"Adventure|Science Fiction",3,14,2026,"Legendary Entertainment","Denis Villeneuve","Timothee Chalamet|Zendaya|Rebecca Ferguson",8.0,41000,138.9,en
"The Batman 2",185000000,176,"Action|Crime|Drama",10,2,2026,"Warner Bros.","Matt Reeves","Robert Pattinson|Jeffrey Wright|Andy Serkis",7.6,36000,120.2,en
"Mission: Impossible 9",290000000,163,"Action|Adventure|Thriller",5,21,2026,"Paramount Pictures","Christopher McQuarrie","Tom Cruise|Hayley Atwell",7.4,28000,98.6,en
"Untitled Marvel Film",200000000,135,"Action|Adventure|Science Fiction",7,24,2026,"Marvel Studios","Ryan Coogler","Chadwick Boseman Jr|Letitia Wright",6.9,22000,88.3,en
"Rom-Com Reunion",20000000,98,"Comedy|Romance",2,13,2026,"Universal Pictures","Nancy Meyers","Emma Stone|Ryan Gosling",7.0,8500,35.1,en
"Haunted Lighthouse",40000000,104,"Horror|Mystery|Thriller",10,30,2026,"Blumhouse Productions","James Wan","Mia Goth|Willem Dafoe",6.2,6100,28.7,en
"Space Documentary",8000000,95,"Documentary",6,5,2026,"National Geographic","James Marsh","Celine Cousteau",8.5,2200,14.2,en
"Animated Fox Adventure",90000000,101,"Animation|Adventure|Family",11,20,2026,"DreamWorks Animation","Peter Ramsey","Ben Whishaw|James McAvoy",7.8,12000,41.6,en
"Tamil Action Thriller",35000000,148,"Action|Thriller",1,14,2026,"Lyca Productions","Lokesh Kanagaraj","Vijay|Trisha|Arjun Das",8.1,19000,76.4,en
